1,-398.209,211610
1,-396.141,211504
1,-394.073,211448
1,-392.005,211518
1,-389.938,211636
1,-387.87,211454
1,-385.803,211518
1,-383.736,211535
1,-381.67,211563
1,-379.603,211423
1,-377.537,211459
1,-375.471,211492
1,-373.405,211567
1,-371.34,211541
1,-369.275,211523
1,-367.21,211393
1,-365.145,211481
1,-363.08,211512
1,-361.016,211446
1,-358.951,211424
1,-356.887,211484
1,-354.824,211474
1,-352.76,211430
1,-350.697,211460
1,-348.634,211569
1,-346.571,211629
1,-344.508,211464
1,-342.446,211551
1,-340.384,211362
1,-338.322,211610
1,-336.26,211571
1,-334.198,211572
1,-332.137,211544
1,-330.076,211512
1,-328.016,211609
1,-325.955,211518
1,-323.895,211440
1,-321.835,211634
1,-319.775,211501
1,-317.715,211579
1,-315.656,211510
1,-313.597,211541
1,-311.538,211579
1,-309.48,211732
1,-307.421,211655
1,-305.363,211560
1,-303.305,211718
1,-301.248,211361
1,-299.191,211601
1,-297.134,211614
1,-295.077,211572
1,-293.02,211566
1,-290.964,211612
1,-288.908,211573
1,-286.852,211529
1,-284.797,211636
1,-282.741,211642
1,-280.686,211750
1,-278.632,211586
1,-276.577,211675
1,-274.523,211468
1,-272.469,211650
1,-270.415,211654
1,-268.362,211667
1,-266.309,211546
1,-264.256,211597
1,-262.203,211673
1,-260.151,211502
1,-258.099,211596
1,-256.047,211676
1,-253.995,211664
1,-251.944,211754
1,-249.893,211668
1,-247.842,211893
1,-245.792,211741
1,-243.742,211619
1,-241.692,211619
1,-239.642,211535
1,-237.593,211691
1,-235.544,211736
1,-233.495,211677
1,-231.447,211768
1,-229.398,211634
1,-227.351,211654
1,-225.303,211681
1,-223.256,211572
1,-221.209,211796
1,-219.162,211665
1,-217.115,211746
1,-215.069,211762
1,-213.023,211793
1,-210.978,211811
1,-208.932,211751
1,-206.887,211658
1,-204.843,211825
1,-202.798,211871
1,-200.754,211850
1,-198.71,211849
1,-196.667,211867
1,-194.623,211796
1,-192.58,211966
1,-190.538,211990
1,-188.495,212124
1,-186.453,211980
1,-184.412,212125
1,-182.37,211946
1,-180.329,212301
1,-178.288,212270
1,-176.248,212172
1,-174.208,212206
1,-172.168,212130
1,-170.128,212152
1,-168.089,212208
1,-166.05,212286
1,-164.011,212069
1,-161.973,212229
1,-159.935,212182
1,-157.897,212179
1,-155.86,212337
1,-153.823,212320
1,-151.786,212330
1,-149.75,212290
1,-147.713,212348
1,-145.678,212267
1,-143.642,212266
1,-141.607,212332
1,-139.572,212261
1,-137.538,212320
1,-135.504,212319
1,-133.47,212399
1,-131.436,212295
